postcode,regional_category,irsd_score,irsd_decile,seifa_population,total_population,median_hhd_income_weekly,median_mortgage_monthly,median_rent_weekly,one_parent_families,total_families,total_mortgage_dwellings,total_rental_dwellings,total_unemployed,total_labour_force,unemployment_rate,single_parent_pct,rent_to_income_ratio,unemployment_rate_log,rent_to_income_ratio_log,total_population_log,rent_to_income_winsor,rent_to_income_final,unemployment_rate_sqrt,cluster,risk_profile
3225,Cities and Major Regional Centres,1081.2217193,10,5408.0,5408.0,2000.0,400.0,1508.0,317.0,3937.0,506.0,308.0,66.0,2171.0,0.0304,0.0805,0.754,0.029947076367952116,0.5618988939499913,8.595819511871428,0.754,0.5618988939499913,0.17435595774162693,2,low
3226,Cities and Major Regional Centres,1073.3682961,9,17714.0,17714.0,2000.0,420.0,1837.0,1542.0,14254.0,2454.0,1214.0,228.0,8712.0,0.0262,0.1082,0.9185,0.02586265952572737,0.65154363070487,9.782167017299573,0.9185,0.65154363070487,0.16186414056238646,2,low
3227,Cities and Major Regional Centres,1096.1729409,10,5459.0,5459.0,2251.0,440.0,2228.0,357.0,4304.0,667.0,286.0,65.0,2589.0,0.0251,0.0829,0.9898,0.024790168807218786,0.6880341311731223,8.605204068738951,0.9898,0.6880341311731223,0.1584297951775486,2,low
3228,Cities and Major Regional Centres,1096.889476,10,24181.0,24181.0,2167.0,500.0,2282.0,1640.0,19376.0,3449.0,1663.0,394.0,12559.0,0.0314,0.0846,1.0531,0.030917102634721517,0.7193508460565816,10.093363833734193,1.0531,0.7193508460565816,0.1772004514666935,2,low
3230,Cities and Major Regional Centres,1080.7375313,10,3208.0,3208.0,2167.0,405.0,1701.0,172.0,2260.0,323.0,219.0,46.0,1509.0,0.0305,0.0761,0.785,0.030044121348376668,0.5794184152316024,8.073714641109857,0.785,0.5794184152316024,0.1746424919657298,2,low
3231,Cities and Major Regional Centres,1094.4018561,10,1571.0,1571.0,2167.0,350.0,1785.0,99.0,1116.0,172.0,67.0,16.0,768.0,0.0208,0.0887,0.8237,0.02058663360838838,0.6008674044406495,7.360103972989152,0.8237,0.6008674044406495,0.14422205101855956,2,low
3232,Cities and Major Regional Centres,1052.2341764,8,1327.0,1327.0,2167.0,363.0,1525.0,89.0,763.0,88.0,114.0,6.0,610.0,0.0098,0.1166,0.7037,0.009752291442678272,0.5328023565693595,7.191429330036379,0.7037,0.5328023565693595,0.09899494936611665,2,low
3233,Regional Centres and Other Regional Areas,1006.6052071,6,2363.0,2363.0,1703.0,300.0,1172.0,176.0,1473.0,215.0,235.0,40.0,1080.0,0.037,0.1195,0.6882,0.036331929247390274,0.5236628725674826,7.768110378525988,0.6882,0.5236628725674826,0.19235384061671346,2,low
3234,Regional Centres and Other Regional Areas,1075.7452623,9,237.0,237.0,1733.0,301.0,1325.0,13.0,137.0,22.0,15.0,0.0,113.0,0.0,0.0949,0.7646,0.0,0.5679240358058673,5.472270673671475,0.7646,0.5679240358058673,0.0,1,medium-low
3235,Cities and Major Regional Centres,1067.433362,9,515.0,515.0,1690.0,200.0,1694.0,52.0,361.0,69.0,21.0,5.0,255.0,0.0196,0.144,1.0024,0.019410393519823325,0.6943464611354274,6.246106765481563,1.0024,0.6943464611354274,0.13999999999999999,2,low
3236,Regional Centres and Other Regional Areas,1004.7141718,6,257.0,257.0,1509.0,290.0,1091.0,41.0,164.0,29.0,13.0,4.0,121.0,0.0331,0.25,0.723,0.03256399087326267,0.5440669575457926,5.552959584921617,0.723,0.5440669575457926,0.1819340539866025,0,high
3237,Regional Centres and Other Regional Areas,979.82148485,4,276.0,276.0,1000.0,195.0,900.0,20.0,165.0,36.0,10.0,4.0,124.0,0.0323,0.1212,0.9,0.031789322489407336,0.6418538861723948,5.6240175061873385,0.9,0.6418538861723948,0.17972200755611428,3,medium-high
3238,Regional Centres and Other Regional Areas,1004.0626353,6,251.0,251.0,1257.0,160.0,1390.0,24.0,178.0,39.0,17.0,8.0,141.0,0.0567,0.1348,1.1058,0.05515084446484804,0.7446954424405219,5.529429087511423,1.1058,0.7446954424405219,0.23811761799581316,3,medium-high
3239,Regional Centres and Other Regional Areas,980.47673101,4,491.0,491.0,1083.0,200.0,1187.0,32.0,347.0,58.0,19.0,14.0,228.0,0.0614,0.0922,1.096,0.05958879141165754,0.7400307664587957,6.198478716492308,1.096,0.7400307664587957,0.24779023386727736,3,medium-high
3240,Cities and Major Regional Centres,1093.5320375,10,2169.0,2169.0,2119.0,330.0,2340.0,137.0,1911.0,332.0,53.0,19.0,1217.0,0.0156,0.0717,1.1043,0.015479570848386318,0.7439828702624407,7.682482446534506,1.1043,0.7439828702624407,0.12489995996796796,2,low
3241,Regional Centres and Other Regional Areas,1017.8878061,6,3072.0,3072.0,1600.0,290.0,1516.0,280.0,2374.0,495.0,208.0,30.0,1505.0,0.0199,0.1179,0.9475,0.019704583274335403,0.6665464987627663,8.030409562130485,0.9475,0.6665464987627663,0.14106735979665885,2,low
3242,Regional Centres and Other Regional Areas,1064.7089679,9,942.0,942.0,1517.0,300.0,1521.0,70.0,726.0,143.0,55.0,9.0,485.0,0.0186,0.0964,1.0026,0.01842913546836719,0.6944463362915654,6.849066282633458,1.0026,0.6944463362915654,0.13638181696985854,2,low
3243,Regional Centres and Other Regional Areas,1062.1362632,9,392.0,392.0,1500.0,300.0,1474.0,18.0,306.0,57.0,16.0,4.0,220.0,0.0182,0.0588,0.9827,0.018036362486098582,0.6844595521623797,5.973809611869261,0.9827,0.6844595521623797,0.13490737563232041,2,low
3249,Regional Centres and Other Regional Areas,1017.1429135,6,3368.0,3368.0,1476.0,250.0,1434.0,244.0,2721.0,421.0,136.0,38.0,1766.0,0.0215,0.0897,0.9715,0.021272135275539696,0.6787946743355449,8.122371243406553,0.9715,0.6787946743355449,0.14662878298615178,2,low
3250,Regional Centres and Other Regional Areas,938.8010321,2,12756.0,12756.0,1300.0,260.0,1250.0,1461.0,9144.0,1591.0,1323.0,182.0,6104.0,0.0298,0.1598,0.9615,0.029364608629903935,0.6737094866674702,9.45383541953829,0.9615,0.6737094866674702,0.17262676501632068,0,high
3251,Regional Centres and Other Regional Areas,993.75686332,5,524.0,524.0,1300.0,220.0,1308.0,37.0,409.0,80.0,24.0,0.0,283.0,0.0,0.0905,1.0062,0.0,0.6962423854672477,6.263398262591624,1.0062,0.6962423854672477,0.0,1,medium-low
3254,Regional Centres and Other Regional Areas,997.98315001,5,358.0,358.0,1300.0,230.0,1485.0,49.0,271.0,63.0,14.0,4.0,180.0,0.0222,0.1808,1.1423,0.02195716735204214,0.761880018241037,5.883322388488279,1.1423,0.761880018241037,0.1489966442575134,3,medium-high
3260,Regional Centres and Other Regional Areas,986.73878148,5,4801.0,4801.0,1153.0,230.0,1256.0,437.0,3539.0,553.0,369.0,55.0,2254.0,0.0244,0.1235,1.0893,0.024107075343233128,0.7368290816460681,8.4767877767812,1.0893,0.7368290816460681,0.1562049935181331,0,high
3264,Regional Centres and Other Regional Areas,944.83112063,3,2254.0,2254.0,1066.0,225.0,1162.0,269.0,1641.0,272.0,188.0,32.0,1042.0,0.0307,0.1639,1.0901,0.030238183060609998,0.7372119117220459,7.720905251936779,1.0901,0.7372119117220459,0.17521415467935234,0,high
3265,Regional Centres and Other Regional Areas,1018.1621447,6,2827.0,2827.0,1343.0,200.0,1772.0,213.0,2292.0,344.0,155.0,32.0,1555.0,0.0206,0.0929,1.3194,0.020390689647734026,0.8413085315404658,7.947325027016463,1.3194,0.8413085315404658,0.14352700094407325,2,low
3266,Regional Centres and Other Regional Areas,977.03392574,4,3047.0,3047.0,1200.0,220.0,1298.0,315.0,2348.0,346.0,209.0,32.0,1468.0,0.0218,0.1342,1.0817,0.021565777914560547,0.7331848675914758,8.022240916806537,1.0817,0.7331848675914758,0.147648230602334,0,high
3267,Regional Centres and Other Regional Areas,1024.929929,7,214.0,214.0,800.0,260.0,1600.0,16.0,170.0,26.0,9.0,4.0,120.0,0.0333,0.0941,2.0,0.03275756423817219,1.0986122886681096,5.3706380281276624,2.0,1.0986122886681096,0.1824828759089466,3,medium-high
3268,Regional Centres and Other Regional Areas,1028.0372821,7,2552.0,2552.0,1200.0,239.0,1466.0,200.0,1999.0,275.0,169.0,35.0,1367.0,0.0256,0.1001,1.2217,0.025277807184268544,0.7982726686009449,7.845024417241484,1.2217,0.7982726686009449,0.16,3,medium-high
3269,Regional Centres and Other Regional Areas,1045.8166545,8,676.0,676.0,1543.0,240.0,1614.0,52.0,505.0,67.0,42.0,8.0,373.0,0.0214,0.103,1.046,0.021174235231406484,0.7158866675294348,6.517671272912275,1.046,0.7158866675294348,0.14628738838327793,2,low
3270,Regional Centres and Other Regional Areas,1065.90364,9,322.0,322.0,1400.0,275.0,1383.0,15.0,231.0,29.0,24.0,6.0,164.0,0.0366,0.0649,0.9879,0.035946126773469124,0.6870788051583386,5.777652323222656,0.9879,0.6870788051583386,0.19131126469708992,3,medium-high
3271,Regional Centres and Other Regional Areas,1020.9298009,7,188.0,188.0,867.0,160.0,1312.0,23.0,127.0,8.0,20.0,3.0,90.0,0.0333,0.1811,1.5133,0.03275756423817219,0.9215966306643365,5.241747015059643,1.5133,0.9215966306643365,0.1824828759089466,3,medium-high
3272,Regional Centres and Other Regional Areas,946.52588073,3,1641.0,1641.0,945.0,215.0,1017.0,203.0,1183.0,199.0,118.0,28.0,705.0,0.0397,0.1716,1.0762,0.038932210001787475,0.730539299777008,7.403670290012373,1.0762,0.730539299777008,0.19924858845171275,0,high
3273,Regional Centres and Other Regional Areas,1086.0706604,10,130.0,130.0,1083.0,175.0,1687.0,11.0,100.0,15.0,6.0,0.0,72.0,0.0,0.11,1.5577,0.0,0.9391084171546009,4.875197323201151,1.5577,0.9391084171546009,0.0,1,medium-low
3274,Regional Centres and Other Regional Areas,988.66066747,5,256.0,256.0,650.0,150.0,1125.0,37.0,196.0,18.0,19.0,12.0,113.0,0.1062,0.1888,1.7308,0.10093071857844059,1.0045946065619882,5.54907608489522,1.7308,1.0045946065619882,0.32588341473600646,0,high
3275,Regional Centres and Other Regional Areas,1052.5917695,8,490.0,490.0,1540.0,230.0,2073.0,29.0,406.0,78.0,14.0,4.0,273.0,0.0147,0.0714,1.3461,0.01459300230290015,0.852754375068783,6.19644412779452,1.3461,0.852754375068783,0.12124355652982141,2,low
3276,Regional Centres and Other Regional Areas,1016.6483031,6,437.0,437.0,1083.0,200.0,1566.0,49.0,352.0,62.0,25.0,3.0,241.0,0.0124,0.1392,1.446,0.012323749688831936,0.8944540372649806,6.082218910376446,1.446,0.8944540372649806,0.11135528725660043,3,medium-high
3277,Regional Centres and Other Regional Areas,1032.1649101,7,1820.0,1820.0,1500.0,250.0,1709.0,150.0,1473.0,244.0,91.0,11.0,985.0,0.0112,0.1018,1.1393,0.011137744410455924,0.7604786727202306,7.507141079727608,1.1393,0.7604786727202306,0.10583005244258362,2,low
3278,Regional Centres and Other Regional Areas,1032.4135436,7,343.0,343.0,1343.0,250.0,1803.0,27.0,286.0,51.0,17.0,7.0,185.0,0.0378,0.0944,1.3425,0.03710308795150221,0.8512187351304402,5.840641657373398,1.3425,0.8512187351304402,0.1944222209522358,3,medium-high
3279,Regional Centres and Other Regional Areas,1034.1871303,7,300.0,300.0,1517.0,233.0,2078.0,14.0,237.0,26.0,13.0,0.0,168.0,0.0,0.0591,1.3698,0.0,0.8628055634005025,5.707110264748875,1.3698,0.8628055634005025,0.0,1,medium-low
3280,Regional Centres and Other Regional Areas,991.14222763,5,33298.0,33298.0,1408.0,295.0,1401.0,3981.0,24671.0,4133.0,3856.0,531.0,16702.0,0.0318,0.1614,0.995,0.03130484982841249,0.6906440503418267,10.413282645487595,0.995,0.6906440503418267,0.1783255450012701,0,high
3281,Regional Centres and Other Regional Areas,1076.196452,9,1857.0,1857.0,1650.0,300.0,2076.0,132.0,1644.0,326.0,46.0,21.0,1047.0,0.0201,0.0803,1.2582,0.019900661706336167,0.8145680357642847,7.527255919373784,1.2582,0.8145680357642847,0.14177446878757824,2,low
3282,Regional Centres and Other Regional Areas,1029.9223894,7,2488.0,2488.0,1452.0,280.0,1507.0,268.0,2086.0,373.0,147.0,19.0,1235.0,0.0154,0.1285,1.0379,0.015282623531156904,0.7119198658832289,7.819636302367592,1.0379,0.7119198658832289,0.12409673645990857,2,low
3283,Regional Centres and Other Regional Areas,1051.0051798,8,1423.0,1423.0,1517.0,263.0,1754.0,128.0,1201.0,199.0,49.0,21.0,769.0,0.0273,0.1066,1.1562,0.026934001240080944,0.7683474131228805,7.261225091971921,1.1562,0.7683474131228805,0.16522711641858306,2,low
3284,Regional Centres and Other Regional Areas,1047.7257436,8,3860.0,3860.0,1733.0,300.0,1465.0,314.0,2852.0,395.0,295.0,49.0,1693.0,0.0289,0.1101,0.8454,0.028490270399627496,0.6126960561623185,8.258681496264236,0.8454,0.6126960561623185,0.16999999999999998,2,low
3285,Regional Centres and Other Regional Areas,1047.4872852,8,1255.0,1255.0,1430.0,220.0,1639.0,73.0,992.0,157.0,40.0,6.0,637.0,0.0094,0.0736,1.1462,0.009356094924024954,0.7636988365108901,7.135687347028144,1.1462,0.7636988365108901,0.09695359714832658,2,low
3286,Regional Centres and Other Regional Areas,1019.5799265,7,532.0,532.0,845.0,150.0,1131.0,38.0,401.0,69.0,24.0,5.0,259.0,0.0193,0.0948,1.3385,0.01911611719223005,0.8495096981838038,6.278521424165844,1.3385,0.8495096981838038,0.13892443989449804,3,medium-high
3287,Regional Centres and Other Regional Areas,1016.6167843,6,418.0,418.0,1189.0,170.0,1758.0,13.0,348.0,47.0,23.0,4.0,244.0,0.0164,0.0374,1.4786,0.01626697246387197,0.9076938846486368,6.037870919922137,1.4786,0.9076938846486368,0.12806248474865697,3,medium-high
3289,Regional Centres and Other Regional Areas,958.85975781,3,804.0,804.0,834.0,180.0,1120.0,60.0,587.0,81.0,50.0,19.0,363.0,0.0523,0.1022,1.3429,0.05097824476462945,0.8513894782904572,6.690842277418564,1.3429,0.8513894782904572,0.22869193252058542,3,medium-high
3292,Regional Centres and Other Regional Areas,1006.7918288,6,191.0,191.0,1235.0,230.0,1104.0,8.0,105.0,14.0,13.0,3.0,81.0,0.037,0.0762,0.8939,0.036331929247390274,0.6386381950595525,5.2574953720277815,0.8939,0.6386381950595525,0.19235384061671346,3,medium-high
3293,Regional Centres and Other Regional Areas,971.54681373,4,336.0,336.0,433.0,200.0,1256.0,27.0,250.0,28.0,20.0,0.0,175.0,0.0,0.108,2.9007,0.0,1.3611560242091914,5.820082930352362,2.9007,1.3611560242091914,0.0,1,medium-low
3294,Regional Centres and Other Regional Areas,1035.3683489,7,967.0,967.0,1083.0,220.0,1349.0,64.0,721.0,77.0,83.0,5.0,528.0,0.0095,0.0888,1.2456,0.009455158770755135,0.8089727460655357,6.875232087276577,1.2456,0.8089727460655357,0.09746794344808964,3,medium-high
3300,Regional Centres and Other Regional Areas,984.84974623,4,10479.0,10479.0,1083.0,236.0,1251.0,1128.0,7619.0,1366.0,1025.0,149.0,4882.0,0.0305,0.1481,1.1551,0.030044121348376668,0.7678371261913891,9.257223957875032,1.1551,0.7678371261913891,0.1746424919657298,0,high
3301,Regional Centres and Other Regional Areas,1066.145577,9,1267.0,1267.0,1260.0,200.0,1697.0,52.0,1050.0,126.0,44.0,15.0,720.0,0.0208,0.0495,1.3468,0.02058663360838838,0.8530526980695677,7.145196134997171,1.3468,0.8530526980695677,0.14422205101855956,2,low
