postcode,regional_category,state
3358,Regional Centres and Other Regional Areas,VIC
3359,Regional Centres and Other Regional Areas,VIC
3360,Regional Centres and Other Regional Areas,VIC
3361,Regional Centres and Other Regional Areas,VIC
3362,Regional Centres and Other Regional Areas,VIC
3363,Regional Centres and Other Regional Areas,VIC
3364,Regional Centres and Other Regional Areas,VIC
3365,Regional Centres and Other Regional Areas,VIC
3366,Regional Centres and Other Regional Areas,VIC
3367,Regional Centres and Other Regional Areas,VIC
3368,Regional Centres and Other Regional Areas,VIC
3369,Regional Centres and Other Regional Areas,VIC
3370,Regional Centres and Other Regional Areas,VIC
3371,Regional Centres and Other Regional Areas,VIC
3372,Regional Centres and Other Regional Areas,VIC
3373,Regional Centres and Other Regional Areas,VIC
3374,Regional Centres and Other Regional Areas,VIC
3375,Regional Centres and Other Regional Areas,VIC
3376,Regional Centres and Other Regional Areas,VIC
3377,Regional Centres and Other Regional Areas,VIC
3378,Regional Centres and Other Regional Areas,VIC
3379,Regional Centres and Other Regional Areas,VIC
3380,Regional Centres and Other Regional Areas,VIC
3381,Regional Centres and Other Regional Areas,VIC
3382,Regional Centres and Other Regional Areas,VIC
3383,Regional Centres and Other Regional Areas,VIC
3384,Regional Centres and Other Regional Areas,VIC
3385,Regional Centres and Other Regional Areas,VIC
3386,Regional Centres and Other Regional Areas,VIC
3387,Regional Centres and Other Regional Areas,VIC
3388,Regional Centres and Other Regional Areas,VIC
3389,Regional Centres and Other Regional Areas,VIC
3390,Regional Centres and Other Regional Areas,VIC
3391,Regional Centres and Other Regional Areas,VIC
3392,Regional Centres and Other Regional Areas,VIC
3393,Regional Centres and Other Regional Areas,VIC
3394,Regional Centres and Other Regional Areas,VIC
3395,Regional Centres and Other Regional Areas,VIC
3396,Regional Centres and Other Regional Areas,VIC
3397,Regional Centres and Other Regional Areas,VIC
3398,Regional Centres and Other Regional Areas,VIC
3399,Regional Centres and Other Regional Areas,VIC
3400,Regional Centres and Other Regional Areas,VIC
3401,Regional Centres and Other Regional Areas,VIC
3402,Regional Centres and Other Regional Areas,VIC
3403,Regional Centres and Other Regional Areas,VIC
3404,Regional Centres and Other Regional Areas,VIC
3405,Regional Centres and Other Regional Areas,VIC
3406,Regional Centres and Other Regional Areas,VIC
3407,Regional Centres and Other Regional Areas,VIC
3408,Regional Centres and Other Regional Areas,VIC
3409,Regional Centres and Other Regional Areas,VIC
3410,Regional Centres and Other Regional Areas,VIC
3411,Regional Centres and Other Regional Areas,VIC
3412,Regional Centres and Other Regional Areas,VIC
3413,Regional Centres and Other Regional Areas,VIC
3414,Regional Centres and Other Regional Areas,VIC
3415,Regional Centres and Other Regional Areas,VIC
3416,Regional Centres and Other Regional Areas,VIC
3417,Regional Centres and Other Regional Areas,VIC
3418,Regional Centres and Other Regional Areas,VIC
3419,Regional Centres and Other Regional Areas,VIC
3420,Regional Centres and Other Regional Areas,VIC
3421,Regional Centres and Other Regional Areas,VIC
3422,Regional Centres and Other Regional Areas,VIC
3423,Regional Centres and Other Regional Areas,VIC
3424,Regional Centres and Other Regional Areas,VIC
3430,Regional Centres and Other Regional Areas,VIC
3431,Regional Centres and Other Regional Areas,VIC
3432,Regional Centres and Other Regional Areas,VIC
3433,Regional Centres and Other Regional Areas,VIC
3434,Regional Centres and Other Regional Areas,VIC
3435,Regional Centres and Other Regional Areas,VIC
3436,Regional Centres and Other Regional Areas,VIC
3437,Regional Centres and Other Regional Areas,VIC
3438,Regional Centres and Other Regional Areas,VIC
3439,Regional Centres and Other Regional Areas,VIC
3440,Regional Centres and Other Regional Areas,VIC
3441,Regional Centres and Other Regional Areas,VIC
3442,Regional Centres and Other Regional Areas,VIC
3443,Regional Centres and Other Regional Areas,VIC
3444,Regional Centres and Other Regional Areas,VIC
3445,Regional Centres and Other Regional Areas,VIC
3446,Regional Centres and Other Regional Areas,VIC
3447,Regional Centres and Other Regional Areas,VIC
3448,Regional Centres and Other Regional Areas,VIC
3449,Regional Centres and Other Regional Areas,VIC
3450,Regional Centres and Other Regional Areas,VIC
3451,Regional Centres and Other Regional Areas,VIC
3452,Regional Centres and Other Regional Areas,VIC
3453,Regional Centres and Other Regional Areas,VIC
3454,Regional Centres and Other Regional Areas,VIC
3455,Regional Centres and Other Regional Areas,VIC
3456,Regional Centres and Other Regional Areas,VIC
3457,Regional Centres and Other Regional Areas,VIC
3458,Regional Centres and Other Regional Areas,VIC
3459,Regional Centres and Other Regional Areas,VIC
3460,Regional Centres and Other Regional Areas,VIC
3461,Regional Centres and Other Regional Areas,VIC
3462,Regional Centres and Other Regional Areas,VIC
