postcode,regional_category,state
3840,Regional Centres and Other Regional Areas,VIC
3841,Regional Centres and Other Regional Areas,VIC
3842,Regional Centres and Other Regional Areas,VIC
3843,Regional Centres and Other Regional Areas,VIC
3844,Regional Centres and Other Regional Areas,VIC
3845,Regional Centres and Other Regional Areas,VIC
3846,Regional Centres and Other Regional Areas,VIC
3847,Regional Centres and Other Regional Areas,VIC
3848,Regional Centres and Other Regional Areas,VIC
3849,Regional Centres and Other Regional Areas,VIC
3850,Regional Centres and Other Regional Areas,VIC
3851,Regional Centres and Other Regional Areas,VIC
3852,Regional Centres and Other Regional Areas,VIC
3853,Regional Centres and Other Regional Areas,VIC
3854,Regional Centres and Other Regional Areas,VIC
3855,Regional Centres and Other Regional Areas,VIC
3856,Regional Centres and Other Regional Areas,VIC
3857,Regional Centres and Other Regional Areas,VIC
3858,Regional Centres and Other Regional Areas,VIC
3859,Regional Centres and Other Regional Areas,VIC
3860,Regional Centres and Other Regional Areas,VIC
3861,Regional Centres and Other Regional Areas,VIC
3862,Regional Centres and Other Regional Areas,VIC
3863,Regional Centres and Other Regional Areas,VIC
3864,Regional Centres and Other Regional Areas,VIC
3865,Regional Centres and Other Regional Areas,VIC
3866,Regional Centres and Other Regional Areas,VIC
3867,Regional Centres and Other Regional Areas,VIC
3868,Regional Centres and Other Regional Areas,VIC
3869,Regional Centres and Other Regional Areas,VIC
3870,Regional Centres and Other Regional Areas,VIC
3871,Regional Centres and Other Regional Areas,VIC
3872,Regional Centres and Other Regional Areas,VIC
3873,Regional Centres and Other Regional Areas,VIC
3874,Regional Centres and Other Regional Areas,VIC
3875,Regional Centres and Other Regional Areas,VIC
3876,Regional Centres and Other Regional Areas,VIC
3877,Regional Centres and Other Regional Areas,VIC
3878,Regional Centres and Other Regional Areas,VIC
3879,Regional Centres and Other Regional Areas,VIC
3880,Regional Centres and Other Regional Areas,VIC
3881,Regional Centres and Other Regional Areas,VIC
3882,Regional Centres and Other Regional Areas,VIC
3883,Regional Centres and Other Regional Areas,VIC
3884,Regional Centres and Other Regional Areas,VIC
3885,Regional Centres and Other Regional Areas,VIC
3886,Regional Centres and Other Regional Areas,VIC
3887,Regional Centres and Other Regional Areas,VIC
3888,Regional Centres and Other Regional Areas,VIC
3889,Regional Centres and Other Regional Areas,VIC
3890,Regional Centres and Other Regional Areas,VIC
3891,Regional Centres and Other Regional Areas,VIC
3892,Regional Centres and Other Regional Areas,VIC
3893,Regional Centres and Other Regional Areas,VIC
3894,Regional Centres and Other Regional Areas,VIC
3895,Regional Centres and Other Regional Areas,VIC
3896,Regional Centres and Other Regional Areas,VIC
3897,Regional Centres and Other Regional Areas,VIC
3898,Regional Centres and Other Regional Areas,VIC
3899,Regional Centres and Other Regional Areas,VIC
3900,Regional Centres and Other Regional Areas,VIC
3901,Regional Centres and Other Regional Areas,VIC
3902,Regional Centres and Other Regional Areas,VIC
3903,Regional Centres and Other Regional Areas,VIC
3904,Regional Centres and Other Regional Areas,VIC
3905,Regional Centres and Other Regional Areas,VIC
3906,Regional Centres and Other Regional Areas,VIC
3907,Regional Centres and Other Regional Areas,VIC
3908,Regional Centres and Other Regional Areas,VIC
3909,Regional Centres and Other Regional Areas,VIC
3912,Regional Centres and Other Regional Areas,VIC
3913,Regional Centres and Other Regional Areas,VIC
3914,Regional Centres and Other Regional Areas,VIC
3915,Regional Centres and Other Regional Areas,VIC
3916,Regional Centres and Other Regional Areas,VIC
3917,Regional Centres and Other Regional Areas,VIC
3918,Regional Centres and Other Regional Areas,VIC
3919,Regional Centres and Other Regional Areas,VIC
3920,Regional Centres and Other Regional Areas,VIC
3921,Regional Centres and Other Regional Areas,VIC
3922,Regional Centres and Other Regional Areas,VIC
3923,Regional Centres and Other Regional Areas,VIC
3924,Regional Centres and Other Regional Areas,VIC
3925,Regional Centres and Other Regional Areas,VIC
3926,Regional Centres and Other Regional Areas,VIC
3927,Regional Centres and Other Regional Areas,VIC
3928,Regional Centres and Other Regional Areas,VIC
3929,Regional Centres and Other Regional Areas,VIC
3930,Regional Centres and Other Regional Areas,VIC
3931,Regional Centres and Other Regional Areas,VIC
3932,Regional Centres and Other Regional Areas,VIC
3933,Regional Centres and Other Regional Areas,VIC
3934,Regional Centres and Other Regional Areas,VIC
3935,Regional Centres and Other Regional Areas,VIC
3936,Regional Centres and Other Regional Areas,VIC
3937,Regional Centres and Other Regional Areas,VIC
3938,Regional Centres and Other Regional Areas,VIC
3939,Regional Centres and Other Regional Areas,VIC
3940,Regional Centres and Other Regional Areas,VIC
3941,Regional Centres and Other Regional Areas,VIC
3942,Regional Centres and Other Regional Areas,VIC
3943,Regional Centres and Other Regional Areas,VIC
3944,Regional Centres and Other Regional Areas,VIC
3945,Regional Centres and Other Regional Areas,VIC
3946,Regional Centres and Other Regional Areas,VIC
3947,Regional Centres and Other Regional Areas,VIC
3948,Regional Centres and Other Regional Areas,VIC
3949,Regional Centres and Other Regional Areas,VIC
3950,Regional Centres and Other Regional Areas,VIC
3951,Regional Centres and Other Regional Areas,VIC
3952,Regional Centres and Other Regional Areas,VIC
3953,Regional Centres and Other Regional Areas,VIC
3954,Regional Centres and Other Regional Areas,VIC
3955,Regional Centres and Other Regional Areas,VIC
3956,Regional Centres and Other Regional Areas,VIC
3957,Regional Centres and Other Regional Areas,VIC
3958,Regional Centres and Other Regional Areas,VIC
3959,Regional Centres and Other Regional Areas,VIC
3960,Regional Centres and Other Regional Areas,VIC
3961,Regional Centres and Other Regional Areas,VIC
3962,Regional Centres and Other Regional Areas,VIC
3963,Regional Centres and Other Regional Areas,VIC
3964,Regional Centres and Other Regional Areas,VIC
3965,Regional Centres and Other Regional Areas,VIC
3966,Regional Centres and Other Regional Areas,VIC
3967,Regional Centres and Other Regional Areas,VIC
3968,Regional Centres and Other Regional Areas,VIC
3969,Regional Centres and Other Regional Areas,VIC
3970,Regional Centres and Other Regional Areas,VIC
3971,Regional Centres and Other Regional Areas,VIC
3978,Regional Centres and Other Regional Areas,VIC
3979,Regional Centres and Other Regional Areas,VIC
3980,Regional Centres and Other Regional Areas,VIC
3981,Regional Centres and Other Regional Areas,VIC
3982,Regional Centres and Other Regional Areas,VIC
3983,Regional Centres and Other Regional Areas,VIC
3984,Regional Centres and Other Regional Areas,VIC
3985,Regional Centres and Other Regional Areas,VIC
3986,Regional Centres and Other Regional Areas,VIC
3987,Regional Centres and Other Regional Areas,VIC
3988,Regional Centres and Other Regional Areas,VIC
3989,Regional Centres and Other Regional Areas,VIC
3990,Regional Centres and Other Regional Areas,VIC
3991,Regional Centres and Other Regional Areas,VIC
3992,Regional Centres and Other Regional Areas,VIC
3993,Regional Centres and Other Regional Areas,VIC
3994,Regional Centres and Other Regional Areas,VIC
3995,Regional Centres and Other Regional Areas,VIC
3996,Regional Centres and Other Regional Areas,VIC
